;Nama;Tanggal;X;Y;Lon;Lat;Sigma0_VH_db;Sigma0_VV_db;Class
203;pin_6646;101119;66.5;67.5;1.165.311.512;-8.374.274.716;-50.931.506;-12.422.446;Non Bawang Putih
208;pin_5758;101119;221.5;226.5;1.165.453.648;-8.387.955.524;-8.541.608;-0.07617904;Non Bawang Putih
209;pin_4559;101119;1.921.860.253;3.094.447.631;1.165.422.384;-8.370.704.252;-12.675.502;-7.909.326;Non Bawang Putih
213;pin_4721;101119;1.971.860.227;4.194.447.585;1.165.427.124;-8.371.665.814;-15.724.487;-10.059.927;Non Bawang Putih
214;pin_6376;101119;129.5;125.5;1.165.369.107;-8.379.248.388;-150.144;-9.805.345;Non Bawang Putih
215;pin_5767;101119;219.5;227.5;1.165.451.895;-8.388.049.419;-79.858.794;-1.403.458;Non Bawang Putih
216;pin_6227;101119;215.5;241.5;1.165.448.707;-8.389.300.549;-103.903.265;-36.030.447;Non Bawang Putih
218;pin_7564;101119;119.5;45.5;1.165.358.092;-8.372.185.574;-16.898.808;-11.423.884;Non Bawang Putih
219;pin_4892;101119;1.941.860.247;4.794.447.599;1.165.424.613;-8.372.205.397;-13.920.237;-9.667.887;Non Bawang Putih
221;pin_7722;101119;112.5;51.5;1.165.352.022;-8.372.735.703;-17.019.594;-103.195.095;Non Bawang Putih
223;pin_4763;101119;1.811.860.323;4.394.447.695;116.541.294;-8.371.885.207;-16.544.699;-9.100.411;Non Bawang Putih
224;pin_4735;101119;1.961.860.234;4.294.447.591;116.542.626;-8.371.757.062;-15.573.182;-9.479.456;Non Bawang Putih
229;pin_6677;101119;54.5;228.5;1.165.305.096;-8.388.573.577;-7.450.168;-0.045687992;Non Bawang Putih
230;pin_7454;101119;64.5;180.5;1.165.312.723;-838.429.362;-7.941.869;-27.381.537;Non Bawang Putih
232;pin_8082;101119;97.5;81.5;1.165.339.468;-8.375.433.675;-140.207.615;-7.004.711;Non Bawang Putih
