,VH,VV,Class
264,-13.867218,-8.003926,Non Bawang Putih
265,-16.116224,-10.82474,Non Bawang Putih
266,-14.774916000000001,-9.6433325,Bawang Putih
267,-13.235099,-10.811517,Non Bawang Putih
268,-4.8167577,2.98318,Non Bawang Putih
269,-16.100775,-6.985965299999999,Bawang Putih
270,-14.846791,-8.22996,Non Bawang Putih
271,-16.444895000000002,-8.360137,Non Bawang Putih
272,-14.783041,-9.287335,Bawang Putih
273,-15.606365,-8.105704,Non Bawang Putih
274,-9.125245,1.5354388,Non Bawang Putih
275,-7.933707000000001,-1.3010837,Non Bawang Putih
276,-15.725423999999999,-10.564245,Bawang Putih
277,-15.765798,-9.043886,Bawang Putih
278,-14.547284,-8.444099000000001,Bawang Putih
279,-5.606711,-1.5305182,Non Bawang Putih
280,-13.286448000000002,-7.6979995,Bawang Putih
281,-7.4047046000000005,-0.5486840000000001,Non Bawang Putih
282,-15.478608,-10.262285,Non Bawang Putih
283,-15.799348,-5.8594165,Bawang Putih
284,-15.178523,-8.483452999999999,Bawang Putih
285,-13.415076000000001,-7.052826,Bawang Putih
286,-15.19495,-7.355345699999999,Bawang Putih
287,-13.281989000000001,-9.042508,Bawang Putih
288,-15.963273000000001,-7.938931,Bawang Putih
289,-16.167187,-7.511228999999999,Non Bawang Putih
290,-16.333622000000002,-8.200066,Non Bawang Putih
291,-14.245508,-8.3985815,Bawang Putih
292,-16.385094,-8.910507,Bawang Putih
293,-13.833276999999999,-9.135712,Bawang Putih
294,-15.43873,-7.805689999999999,Bawang Putih
295,-14.711825,-8.188873,Bawang Putih
296,-10.152527000000001,5.7923355,Non Bawang Putih
297,-11.47118,-9.554161,Non Bawang Putih
298,-15.314186,-7.485539999999999,Bawang Putih
299,-14.823512,-9.3189945,Bawang Putih
300,-7.0703363,-1.2147438999999998,Non Bawang Putih
301,-3.8211942000000003,5.351625,Non Bawang Putih
302,-13.072884,-8.443056,Non Bawang Putih
303,-13.472972,-8.9959,Bawang Putih
304,-15.419156,-8.304775,Bawang Putih
305,-16.3455,-7.836445299999999,Non Bawang Putih
306,-15.649476000000002,-9.638104,Non Bawang Putih
307,-14.194423,-9.685243,Bawang Putih
308,-12.622469,-9.048827000000001,Bawang Putih
309,-11.119399000000001,-0.6927597,Non Bawang Putih
310,-10.465281,-7.6690974,Bawang Putih
311,-6.9060516000000005,-1.558617,Non Bawang Putih
312,-12.789060000000001,-8.480072,Bawang Putih
313,-13.183545,-8.378622,Non Bawang Putih
314,-14.956074,-7.600874,Bawang Putih
315,-13.758587,-9.243844000000001,Non Bawang Putih
316,-7.942707,0.7758033000000001,Non Bawang Putih
317,-6.8517137,0.6025173,Non Bawang Putih
318,-7.483206299999999,0.49958748,Non Bawang Putih
319,-14.809532999999998,-8.5178,Bawang Putih
320,-13.706314,-10.678125999999999,Non Bawang Putih
321,-14.345894,-10.10046,Non Bawang Putih
322,-14.599310999999998,-7.826071000000001,Bawang Putih
323,-14.594299,-9.379479,Bawang Putih
324,-9.886228,-3.179195,Non Bawang Putih
325,-13.16888,-6.321745,Bawang Putih
326,-15.747262,-10.361151,Non Bawang Putih
327,-15.2231,-9.254242999999999,Non Bawang Putih
328,-5.6176639999999995,2.0010629,Non Bawang Putih
329,-13.371957,-8.708731,Non Bawang Putih
330,-15.304618,-9.267553,Bawang Putih
331,-12.500323,-8.600575,Bawang Putih
332,-15.7642145,-6.8802037,Non Bawang Putih
333,-14.674971,-7.843888000000001,Bawang Putih
334,-14.0169935,-7.3189325,Bawang Putih
335,-13.8420925,-7.7868342,Bawang Putih
336,-14.1205,-9.565748,Bawang Putih
337,-15.33433,-8.278748,Bawang Putih
338,-13.184331,-7.8897949999999994,Bawang Putih
339,-14.799173999999999,-7.07971,Bawang Putih
340,-15.157110000000001,-7.7554703,Non Bawang Putih
341,-14.462891,-8.464704,Bawang Putih
342,-13.237817999999999,-7.9744997,Bawang Putih
343,-14.204536,-6.319791,Bawang Putih
344,-14.053226,-9.227091,Bawang Putih
345,-16.183098,-6.778386,Non Bawang Putih
346,-12.575676,-8.333228,Bawang Putih
347,-9.921555499999998,1.0071398999999999,Non Bawang Putih
348,-14.935787,-10.580227,Non Bawang Putih
349,-15.325213,-7.675849,Non Bawang Putih
350,-10.327725,-7.16252,Non Bawang Putih
351,-15.446860999999998,-8.853074000000001,Bawang Putih
352,-14.065903,-8.745314,Non Bawang Putih
353,-13.896526999999999,-8.448734,Bawang Putih
354,-7.094216,0.34681398,Non Bawang Putih
355,-13.180655999999999,-10.100991,Non Bawang Putih
356,-14.895302,-5.1322517,Bawang Putih
357,-15.034767,-9.557944,Bawang Putih
358,-7.797662700000001,-2.0698828999999996,Non Bawang Putih
359,-13.000527,-9.901006,Bawang Putih
360,-17.18908,-10.131978,Bawang Putih
361,-15.184332000000001,-8.210511,Bawang Putih
362,-3.835146,4.964671,Non Bawang Putih
363,-17.782507,-10.159692,Bawang Putih
364,-16.167185,-7.309584,Non Bawang Putih
365,-13.676792,-8.030669,Bawang Putih
366,-15.077257999999999,-9.414132,Non Bawang Putih
367,-12.420577999999999,-7.577493700000001,Bawang Putih
368,-14.330094,-7.9622803,Non Bawang Putih
369,-15.096120999999998,-9.637339,Non Bawang Putih
370,-14.794095,-6.9650087,Bawang Putih
371,-15.881572,-8.262008,Bawang Putih
372,-9.890848,-0.6180079,Non Bawang Putih
373,-7.646754700000001,-3.1251482999999998,Non Bawang Putih
374,-17.452848,-7.9938226,Non Bawang Putih
375,-14.184381,-8.033033,Non Bawang Putih
376,-13.197439000000001,-8.893791,Bawang Putih
377,-16.581284,-11.276247999999999,Non Bawang Putih
378,-13.978616,-8.99078,Bawang Putih
379,-6.649361999999999,-2.6472707000000004,Non Bawang Putih
380,-16.909195,-6.800252,Bawang Putih
381,-10.170794500000001,-3.4844537000000004,Non Bawang Putih
382,-14.599464000000001,-6.5742416,Bawang Putih
383,-16.047544,-9.186815,Non Bawang Putih
384,-8.641195,-2.5920490000000003,Non Bawang Putih
385,-14.904957999999999,-9.634542,Non Bawang Putih
386,-10.978453,-1.9877121,Non Bawang Putih
387,-11.522667,-2.4259264,Non Bawang Putih
388,-11.170204,-1.6727102999999999,Non Bawang Putih
389,-14.027873999999999,-9.644098,Bawang Putih
390,-13.389420499999998,-9.838262,Bawang Putih
391,-12.3939,-10.311003,Bawang Putih
392,-10.153642,0.04138079,Non Bawang Putih
393,-12.966024,-8.305616,Bawang Putih
394,-17.22127,-12.218148,Non Bawang Putih
395,-11.878888,-5.8841095,Non Bawang Putih
396,-15.923873,-6.00336,Bawang Putih
397,-13.27041,-8.201528999999999,Bawang Putih
398,-12.549258,-7.022434700000001,Bawang Putih
399,-16.381828,-6.669803599999999,Bawang Putih
400,-14.81644,-8.045653999999999,Non Bawang Putih
401,-12.880632,-8.983908999999999,Bawang Putih
402,-6.8561034,-1.2442422,Non Bawang Putih
403,-14.686585999999998,-10.566965,Non Bawang Putih
404,-12.856208,-7.5340095,Bawang Putih
405,-13.834694,-9.240668,Bawang Putih
406,-12.508001,-9.255245,Bawang Putih
407,-13.168060999999998,-8.862264,Bawang Putih
408,-14.290663,-8.377804,Bawang Putih
409,-7.89704,-1.5480393999999997,Non Bawang Putih
410,-16.431416,-8.415635,Bawang Putih
411,-15.391762,-10.741372,Non Bawang Putih
412,-13.140538000000001,-8.758491000000001,Bawang Putih
413,-14.929666500000002,-8.407053999999999,Bawang Putih
414,-11.441589,-4.056355,Non Bawang Putih
415,-13.629651,-6.373522,Bawang Putih
416,-14.365054,-10.265134,Bawang Putih
417,-17.913732999999997,-9.979934,Bawang Putih
418,-16.027493,-9.2775,Non Bawang Putih
419,-9.453669999999999,-3.4915516,Non Bawang Putih
420,-13.9458885,-8.114658,Bawang Putih
421,-13.2104,-8.423664,Bawang Putih
422,-14.605663,-9.429781,Bawang Putih
