,VH,VV,VV-VH,VV/VH,(VV+VH)/2,Class
35,-16.66776,-8.801006,7.866754000000002,0.5280257215126687,-12.734383000000001,Non Bawang Putih
36,-11.194356,-8.198069,2.9962870000000006,0.732339493223192,-9.696212500000001,Non Bawang Putih
37,-8.692524,4.1336894,12.8262134,-0.4755453536855348,-2.2794173000000004,Non Bawang Putih
38,-7.045009599999998,-3.126985,3.9180245999999985,0.44385816025005853,-5.085997299999999,Non Bawang Putih
39,-14.955809,-9.090634,5.865175000000001,0.6078329831572468,-12.0232215,Bawang Putih
40,-14.202456,-7.5296617,6.6727943,0.5301661698511864,-10.86605885,Bawang Putih
41,-12.162698,-7.009614999999998,5.153083000000002,0.5763207308115352,-9.5861565,Bawang Putih
42,-15.765268,-8.859349,6.905919000000001,0.5619535931771029,-12.3123085,Non Bawang Putih
43,-15.298276,-10.594096,4.704179999999999,0.6925026061760162,-12.946186,Non Bawang Putih
44,-5.5543666,1.3892716,6.9436382,-0.25012241719874956,-2.0825475,Non Bawang Putih
45,-14.444142,-10.902162,3.541979999999999,0.7547808654885836,-12.673152,Bawang Putih
46,-14.832669,-9.41115,5.421519,0.6344879670678284,-12.1219095,Bawang Putih
47,-11.262417,-3.1066856,8.155731399999999,0.27584537137987347,-7.1845513,Non Bawang Putih
48,-13.515164000000002,-7.662202400000001,5.852961600000001,0.5669337345813932,-10.588683200000002,Bawang Putih
49,-11.923818,-9.109605,2.8142130000000005,0.763983901800581,-10.5167115,Bawang Putih
50,-6.141236,0.86786497,7.00910097,-0.14131763866426889,-2.636685515,Non Bawang Putih
51,-8.594058,2.094926,10.688984000000001,-0.24376447075409544,-3.249566,Non Bawang Putih
52,-12.326486,-4.381142,7.9453439999999995,0.35542505787943135,-8.353814,Non Bawang Putih
53,-12.976337,-8.738283000000001,4.238053999999998,0.6734013612624272,-10.85731,Bawang Putih
54,-8.863304,-0.9091031,7.954200899999999,0.10256932403537102,-4.886203549999999,Non Bawang Putih
55,-15.408485,-7.543642,7.8648430000000005,0.4895771388296773,-11.4760635,Bawang Putih
56,-11.52435,-3.9155066,7.6088434,0.33975943111759016,-7.7199283,Non Bawang Putih
57,-16.17695,-7.8244686,8.352481400000002,0.4836800880264821,-12.0007093,Bawang Putih
58,-13.899634,-6.6489115000000005,7.2507225,0.478351552278283,-10.274272750000002,Bawang Putih
