,VH,VV,Class
190,-16.425652,-11.281555,Non Bawang Putih
191,-15.015028,-8.602163000000001,Bawang Putih
192,-11.722949,-2.6957133,Non Bawang Putih
193,-16.9036,-10.528018,Bawang Putih
194,-13.585122,-7.6500244,Bawang Putih
195,-13.877408,-8.941734,Bawang Putih
196,-15.954156,-8.883977,Bawang Putih
197,-12.387402,-4.1780677000000015,Non Bawang Putih
198,-15.255381,-8.776407,Non Bawang Putih
199,-15.553137,-8.95805,Non Bawang Putih
200,-15.353699,-7.0663238,Bawang Putih
201,-10.679395,-5.1155370000000016,Non Bawang Putih
202,-15.957445000000002,-8.996851,Bawang Putih
203,-16.189573,-10.822569,Non Bawang Putih
204,-10.362616,-3.5102127,Non Bawang Putih
205,-14.469627,-10.894119,Non Bawang Putih
206,-16.537132,-10.0706005,Bawang Putih
207,-16.756676000000002,-9.887459,Bawang Putih
208,-13.663631,-7.198991,Non Bawang Putih
209,-14.342483499999998,-9.405473,Bawang Putih
210,-15.2453165,-8.932611,Bawang Putih
211,-14.57961,-9.048592,Bawang Putih
212,-15.178368,-7.7411413,Non Bawang Putih
213,-12.97269,-8.88217,Non Bawang Putih
214,-15.806331,-9.97138,Bawang Putih
215,-3.7668614,-1.0878563,Non Bawang Putih
216,-17.264706,-9.804054,Bawang Putih
217,-3.7717319,4.3419085,Non Bawang Putih
218,-10.026834,-2.2918763,Non Bawang Putih
219,-6.156576599999998,-0.60919005,Non Bawang Putih
220,-6.595146700000001,-1.9673469,Non Bawang Putih
221,-15.437503,-8.792,Bawang Putih
222,-17.525667000000002,-9.10425,Non Bawang Putih
223,-14.590155,-9.558267,Bawang Putih
224,-13.6491,-10.041832,Bawang Putih
225,-13.7341585,-5.189567,Non Bawang Putih
226,-8.879351,-0.6498518,Non Bawang Putih
227,-17.589188,-9.161057,Bawang Putih
228,-13.535689,-7.219941,Bawang Putih
229,-7.532245,-0.795788,Non Bawang Putih
230,-12.332806,-6.0591803,Bawang Putih
231,-16.91341,-9.3306875,Non Bawang Putih
232,-14.405425,-8.135994,Bawang Putih
233,-2.9989843,2.784311,Non Bawang Putih
234,-16.149454000000002,-5.7497435,Non Bawang Putih
235,-12.213134,-6.1364694,Bawang Putih
236,-14.407707,-9.796763,Non Bawang Putih
237,-16.717442000000002,-9.133033,Bawang Putih
238,-16.768307,-10.572698,Bawang Putih
239,-16.279093,-11.632112,Bawang Putih
240,-6.327511,-1.2975096000000002,Non Bawang Putih
241,-16.693554000000002,-9.314559,Non Bawang Putih
242,-15.622977,-11.131101,Non Bawang Putih
243,-14.640445,-10.960002,Non Bawang Putih
244,-14.083125,-7.966381500000002,Bawang Putih
245,-14.968991,-8.034601,Bawang Putih
246,-5.887407,0.517016,Non Bawang Putih
