,VH,VV,VV-VH,Class
155,-15.555836,-9.063357,6.4924789999999994,Non Bawang Putih
156,-14.008798,-8.637633000000001,5.3711649999999995,Bawang Putih
157,-14.468172,-5.5777464000000005,8.890425599999999,Bawang Putih
158,-10.761324,0.43719763,11.19852163,Non Bawang Putih
159,-16.096735,-7.006449000000001,9.090285999999999,Bawang Putih
160,-12.050061,-7.6418967,4.408164299999999,Non Bawang Putih
161,-15.233079,-10.59515,4.637929,Non Bawang Putih
162,-13.800423,-9.769781,4.030642,Bawang Putih
163,-13.5956,-9.030173,4.565427,Non Bawang Putih
164,-13.930786,-8.126483,5.804302999999999,Bawang Putih
165,-14.319231,-8.787999000000001,5.531231999999999,Bawang Putih
166,-14.980182,-9.086437,5.893744999999999,Bawang Putih
167,-12.598376,-5.1249647000000005,7.4734112999999995,Bawang Putih
168,-15.240707,-6.1859474,9.0547596,Bawang Putih
169,-7.8990974,-5.0693727,2.8297247,Non Bawang Putih
170,-11.455684,-8.650449,2.8052349999999997,Bawang Putih
171,-11.822506,-7.576819,4.245687,Bawang Putih
172,-12.90556,-8.977242,3.928317999999999,Bawang Putih
173,-10.713537,-6.4398584,4.2736786,Non Bawang Putih
174,-14.795188,-9.251088,5.5441,Non Bawang Putih
175,-16.665503,-9.525159,7.140344000000001,Non Bawang Putih
176,-12.401992,-9.962459,2.439532999999999,Bawang Putih
177,-17.13849,-9.007164,8.131326000000001,Non Bawang Putih
178,-5.482704,-2.2306077,3.2520963,Non Bawang Putih
179,-15.147122,-9.820483,5.326639,Bawang Putih
180,-16.380562,-8.520763,7.859799000000001,Bawang Putih
181,-10.756734,-7.361264,3.3954699999999995,Bawang Putih
182,-13.261349,-6.9223747000000015,6.338974299999998,Bawang Putih
183,-16.060394,-7.3028517000000015,8.757542299999997,Non Bawang Putih
184,-13.405598,-8.688994000000001,4.7166039999999985,Bawang Putih
185,-13.327619,-5.5569167,7.7707023,Non Bawang Putih
186,-13.258117000000002,-9.270047,3.9880700000000022,Bawang Putih
187,-15.202567000000002,-6.284495400000001,8.918071600000001,Bawang Putih
188,-14.031201,-9.456595,4.574605999999999,Non Bawang Putih
189,-15.437345,-9.7103615,5.726983500000001,Bawang Putih
190,-7.9132547,-1.9610245,5.952230200000001,Non Bawang Putih
191,-7.12772,-2.0409372,5.0867828,Non Bawang Putih
192,-14.763392,-8.420905,6.342487,Bawang Putih
193,-17.086523,-10.459568,6.626954999999999,Non Bawang Putih
194,-15.668776500000002,-8.310016000000001,7.358760500000001,Bawang Putih
195,-15.414484,-10.489829,4.924655,Non Bawang Putih
196,-15.751831,-10.180541,5.571289999999999,Bawang Putih
197,-14.229426,-8.763167,5.466259000000001,Bawang Putih
198,-3.5742648,3.2672465,6.8415113000000005,Non Bawang Putih
199,-14.959948,-9.58307,5.376878000000001,Non Bawang Putih
200,-13.791219,-6.6355495,7.1556695,Bawang Putih
201,-10.969668,-2.1699297000000004,8.7997383,Non Bawang Putih
202,-14.2261505,-8.307071,5.919079499999999,Bawang Putih
203,-5.0931506,-1.2422446000000005,3.850906,Non Bawang Putih
204,-14.052051,-9.672875,4.379176000000001,Bawang Putih
205,-14.173804999999998,-8.681429,5.492375999999998,Bawang Putih
206,-13.929731,-9.6533,4.2764310000000005,Bawang Putih
207,-12.159577,-7.922836999999999,4.236740000000002,Bawang Putih
208,-8.541608,-0.07617904,8.46542896,Non Bawang Putih
209,-12.675502,-7.909325999999999,4.766176000000001,Non Bawang Putih
210,-14.085105,-8.519417,5.565688,Bawang Putih
211,-14.116932,-8.648946,5.467986,Bawang Putih
212,-15.551548,-8.914937,6.636611,Bawang Putih
213,-15.724487,-10.059927,5.66456,Non Bawang Putih
214,-15.0144,-9.805345,5.209054999999999,Non Bawang Putih
215,-7.985879400000001,-1.403458,6.582421400000001,Non Bawang Putih
216,-10.3903265,-3.6030447,6.787281800000001,Non Bawang Putih
217,-12.309665,-9.382925,2.9267400000000006,Bawang Putih
218,-16.898808,-11.423884,5.474924,Non Bawang Putih
219,-13.920237,-9.667887,4.25235,Non Bawang Putih
220,-16.451985999999998,-6.955386,9.496599999999997,Bawang Putih
221,-17.019594,-10.3195095,6.700084500000001,Non Bawang Putih
222,-15.461017000000002,-9.724463,5.736554000000002,Bawang Putih
223,-16.544698999999998,-9.100411,7.4442879999999985,Non Bawang Putih
224,-15.573182,-9.479456,6.093725999999998,Non Bawang Putih
225,-15.435003,-7.8174686,7.6175344,Bawang Putih
226,-14.722716,-6.91714,7.805576,Bawang Putih
227,-16.090042,-9.906628,6.183414000000001,Bawang Putih
228,-13.45781,-6.3563665999999985,7.101443400000002,Bawang Putih
229,-7.450168,-0.045687992,7.404480007999999,Non Bawang Putih
230,-7.941869,-2.7381537,5.2037153,Non Bawang Putih
231,-15.039156,-8.502297,6.536859,Bawang Putih
232,-14.0207615,-7.004711,7.0160505,Non Bawang Putih
233,-13.071842,-6.105814499999998,6.966027500000002,Non Bawang Putih
234,-3.7384684,2.9741795,6.7126479,Non Bawang Putih
235,-12.9058,0.6339929,13.539792899999998,Non Bawang Putih
236,-15.161786,-8.377427,6.7843589999999985,Non Bawang Putih
237,-14.432013,-8.220667,6.211345999999999,Bawang Putih
238,-15.973103,-11.376388,4.596715,Non Bawang Putih
239,-16.521198000000002,-9.206445,7.314753000000001,Bawang Putih
240,-14.632817,-8.656301,5.976516,Non Bawang Putih
241,-14.060709,-4.1464,9.914309,Bawang Putih
242,-15.081408499999998,-9.914905,5.166503499999999,Bawang Putih
243,-4.989961599999999,4.2964315000000015,9.286393100000002,Non Bawang Putih
244,-14.640588,-10.360763,4.279824999999999,Bawang Putih
245,-5.7242165,-1.1094137,4.6148028,Non Bawang Putih
246,-16.411018,-9.329158,7.081859999999999,Non Bawang Putih
247,-14.545754,-8.288176,6.2575780000000005,Non Bawang Putih
248,-7.396733800000002,1.025801,8.422534800000001,Non Bawang Putih
249,-15.140987,-11.130209,4.010778,Non Bawang Putih
250,-15.692597,-11.714986,3.9776109999999996,Non Bawang Putih
251,-16.536486,-7.8585954,8.677890600000001,Bawang Putih
252,-10.925851,-1.7189256999999998,9.2069253,Non Bawang Putih
253,-15.507193,-6.75448,8.752713,Bawang Putih
254,-15.593682,-8.789613000000001,6.804068999999998,Non Bawang Putih
255,-13.800877,-8.090295,5.7105820000000005,Non Bawang Putih
256,-14.828354,-7.612242,7.216111999999999,Bawang Putih
257,-15.77204,-7.828328999999999,7.943711000000001,Bawang Putih
258,-15.950558,-10.838265,5.112292999999999,Bawang Putih
259,-15.509907,-8.663625,6.846282,Non Bawang Putih
260,-13.301317,-4.5304723,8.7708447,Non Bawang Putih
261,-17.227468,-8.526757,8.700710999999998,Bawang Putih
262,-15.179204,-9.29539,5.883814000000001,Non Bawang Putih
263,-13.202070999999998,-9.330135,3.871935999999998,Bawang Putih
264,-13.867218,-8.003926,5.8632919999999995,Non Bawang Putih
265,-16.116224,-10.82474,5.291483999999999,Non Bawang Putih
266,-14.774916,-9.6433325,5.1315835,Bawang Putih
267,-13.235099,-10.811517,2.4235819999999997,Non Bawang Putih
268,-4.8167577,2.98318,7.7999377,Non Bawang Putih
269,-16.100775,-6.985965299999998,9.1148097,Bawang Putih
270,-14.846791,-8.22996,6.6168309999999995,Non Bawang Putih
271,-16.444895000000002,-8.360137,8.084758000000003,Non Bawang Putih
272,-14.783041,-9.287335,5.495706,Bawang Putih
273,-15.606365,-8.105704,7.500661000000001,Non Bawang Putih
274,-9.125245,1.5354388,10.6606838,Non Bawang Putih
275,-7.933707000000001,-1.3010837,6.6326233000000006,Non Bawang Putih
276,-15.725424,-10.564245,5.161179000000001,Bawang Putih
277,-15.765798,-9.043886,6.721912,Bawang Putih
278,-14.547284,-8.444099000000001,6.103184999999998,Bawang Putih
279,-5.606711,-1.5305182,4.076192799999999,Non Bawang Putih
280,-13.286448000000002,-7.6979995,5.588448500000002,Bawang Putih
281,-7.4047046,-0.5486840000000001,6.8560206,Non Bawang Putih
282,-15.478608,-10.262285,5.216322999999999,Non Bawang Putih
283,-15.799348,-5.8594165,9.9399315,Bawang Putih
284,-15.178523,-8.483452999999999,6.695070000000001,Bawang Putih
285,-13.415076,-7.052826,6.3622499999999995,Bawang Putih
286,-15.19495,-7.355345699999999,7.839604300000001,Bawang Putih
287,-13.281989,-9.042508,4.239481,Bawang Putih
288,-15.963273,-7.938931,8.024341999999999,Bawang Putih
289,-16.167187,-7.511228999999998,8.655958,Non Bawang Putih
290,-16.333622000000002,-8.200066,8.133556000000002,Non Bawang Putih
291,-14.245508,-8.3985815,5.846926499999999,Bawang Putih
292,-16.385094,-8.910507,7.474586999999998,Bawang Putih
293,-13.833277,-9.135712,4.697565000000001,Bawang Putih
294,-15.43873,-7.8056899999999985,7.633040000000001,Bawang Putih
295,-14.711825,-8.188873,6.522952,Bawang Putih
296,-10.152527,5.7923355,15.9448625,Non Bawang Putih
297,-11.47118,-9.554161,1.9170189999999998,Non Bawang Putih
298,-15.314186,-7.4855399999999985,7.828646000000001,Bawang Putih
299,-14.823512,-9.3189945,5.504517499999999,Bawang Putih
300,-7.0703363,-1.2147438999999998,5.855592400000001,Non Bawang Putih
301,-3.8211942,5.351625,9.1728192,Non Bawang Putih
302,-13.072884,-8.443056,4.629828,Non Bawang Putih
303,-13.472972,-8.9959,4.477072,Bawang Putih
304,-15.419156,-8.304775,7.114381,Bawang Putih
305,-16.3455,-7.8364452999999985,8.509054700000004,Non Bawang Putih
306,-15.649476000000002,-9.638104,6.0113720000000015,Non Bawang Putih
307,-14.194423,-9.685243,4.509180000000001,Bawang Putih
308,-12.622469,-9.048827,3.5736420000000013,Bawang Putih
309,-11.119399,-0.6927597,10.4266393,Non Bawang Putih
310,-10.465281,-7.6690974,2.796183599999999,Bawang Putih
311,-6.9060516000000005,-1.558617,5.347434600000001,Non Bawang Putih
312,-12.78906,-8.480072,4.308987999999999,Bawang Putih
313,-13.183545,-8.378622,4.8049230000000005,Non Bawang Putih
314,-14.956074,-7.600874,7.355199999999999,Bawang Putih
315,-13.758587,-9.243844,4.514743000000001,Non Bawang Putih
316,-7.942707,0.7758033000000001,8.7185103,Non Bawang Putih
317,-6.8517137,0.6025173,7.454231,Non Bawang Putih
318,-7.483206299999999,0.49958748,7.982793779999999,Non Bawang Putih
319,-14.809532999999998,-8.5178,6.291732999999999,Bawang Putih
320,-13.706314,-10.678126,3.028188,Non Bawang Putih
321,-14.345894,-10.10046,4.2454339999999995,Non Bawang Putih
322,-14.599310999999998,-7.8260710000000016,6.773239999999997,Bawang Putih
323,-14.594299,-9.379479,5.21482,Bawang Putih
324,-9.886228,-3.179195,6.707032999999999,Non Bawang Putih
325,-13.16888,-6.321745,6.847135,Bawang Putih
326,-15.747262,-10.361151,5.386111,Non Bawang Putih
327,-15.2231,-9.254243,5.968857,Non Bawang Putih
328,-5.617664,2.0010629,7.6187269,Non Bawang Putih
329,-13.371957,-8.708731,4.663226,Non Bawang Putih
330,-15.304618,-9.267553,6.037065,Bawang Putih
331,-12.500323,-8.600575,3.8997480000000007,Bawang Putih
332,-15.7642145,-6.8802037,8.884010799999999,Non Bawang Putih
333,-14.674971,-7.8438880000000015,6.831082999999998,Bawang Putih
334,-14.0169935,-7.3189325,6.698061,Bawang Putih
335,-13.8420925,-7.7868342,6.055258299999999,Bawang Putih
336,-14.1205,-9.565748,4.554752000000001,Bawang Putih
337,-15.33433,-8.278748,7.055581999999999,Bawang Putih
338,-13.184331,-7.889794999999999,5.294536000000002,Bawang Putih
339,-14.799174,-7.07971,7.719464,Bawang Putih
340,-15.15711,-7.7554703,7.4016397,Non Bawang Putih
341,-14.462891,-8.464704,5.9981870000000015,Bawang Putih
342,-13.237818,-7.9744997,5.263318300000001,Bawang Putih
343,-14.204536,-6.319791,7.884744999999999,Bawang Putih
344,-14.053226,-9.227091,4.826135000000001,Bawang Putih
345,-16.183098,-6.778386,9.404712,Non Bawang Putih
346,-12.575676,-8.333228,4.2424479999999996,Bawang Putih
347,-9.921555499999998,1.0071399,10.928695399999999,Non Bawang Putih
348,-14.935787,-10.580227,4.355559999999999,Non Bawang Putih
349,-15.325213,-7.675849,7.649363999999999,Non Bawang Putih
350,-10.327725,-7.16252,3.1652049999999994,Non Bawang Putih
351,-15.446860999999998,-8.853074000000003,6.593786999999995,Bawang Putih
352,-14.065903,-8.745314,5.320589,Non Bawang Putih
353,-13.896527,-8.448734,5.447793000000001,Bawang Putih
354,-7.094216,0.34681398,7.441029980000001,Non Bawang Putih
355,-13.180656,-10.100991,3.0796650000000003,Non Bawang Putih
356,-14.895302,-5.1322517,9.7630503,Bawang Putih
357,-15.034767,-9.557944,5.4768229999999996,Bawang Putih
358,-7.797662700000001,-2.0698829,5.7277798,Non Bawang Putih
359,-13.000527,-9.901006,3.0995209999999993,Bawang Putih
360,-17.18908,-10.131978,7.057102,Bawang Putih
361,-15.184332,-8.210511,6.973820999999999,Bawang Putih
362,-3.835146,4.964671,8.799817000000001,Non Bawang Putih
363,-17.782507,-10.159692,7.622814999999999,Bawang Putih
