,VH,VV,VV-VH,Class
39,-14.955809,-9.090634,5.865175000000001,Bawang Putih
40,-14.202456,-7.5296617,6.6727943,Bawang Putih
41,-12.162698,-7.009614999999998,5.153083000000002,Bawang Putih
42,-15.765268,-8.859349,6.905919000000001,Non Bawang Putih
43,-15.298276,-10.594096,4.704179999999999,Non Bawang Putih
44,-5.5543666,1.3892716,6.9436382,Non Bawang Putih
45,-14.444142,-10.902162,3.541979999999999,Bawang Putih
46,-14.832669,-9.41115,5.421519,Bawang Putih
47,-11.262417,-3.1066856,8.155731399999999,Non Bawang Putih
48,-13.515164000000002,-7.662202400000001,5.852961600000001,Bawang Putih
49,-11.923818,-9.109605,2.8142130000000005,Bawang Putih
50,-6.141236,0.86786497,7.00910097,Non Bawang Putih
51,-8.594058,2.094926,10.688984000000001,Non Bawang Putih
52,-12.326486,-4.381142,7.9453439999999995,Non Bawang Putih
53,-12.976337,-8.738283000000001,4.238053999999998,Bawang Putih
54,-8.863304,-0.9091031,7.954200899999999,Non Bawang Putih
55,-15.408485,-7.543642,7.8648430000000005,Bawang Putih
56,-11.52435,-3.9155066,7.6088434,Non Bawang Putih
57,-16.17695,-7.8244686,8.352481400000002,Bawang Putih
58,-13.899634,-6.6489115000000005,7.2507225,Bawang Putih
59,-17.658708999999995,-7.37755,10.281158999999995,Non Bawang Putih
60,-12.955357,-7.777703,5.1776539999999995,Bawang Putih
61,-15.424406,-9.695599,5.728807,Non Bawang Putih
62,-12.665453,-2.9956944,9.6697586,Non Bawang Putih
63,-12.984845,-8.880938,4.1039069999999995,Bawang Putih
64,-15.9738655,-10.122522,5.8513435000000005,Bawang Putih
65,-15.583714,-9.162121,6.421593,Non Bawang Putih
66,-12.456729,-3.6373389,8.8193901,Non Bawang Putih
67,-11.038852,-0.8059566,10.2328954,Non Bawang Putih
68,-18.049595,-10.895882,7.153713,Non Bawang Putih
69,-13.3178215,-8.438396000000001,4.8794255,Bawang Putih
70,-15.155689,-7.384469,7.7712200000000005,Bawang Putih
71,-11.972898,-8.268817,3.7040810000000004,Bawang Putih
72,-13.827001,-9.336983,4.490017999999999,Non Bawang Putih
73,-15.388074,-9.122454,6.26562,Non Bawang Putih
74,-7.6718307,-1.6397425,6.0320882000000005,Non Bawang Putih
75,-16.039492000000006,-8.515177,7.524315000000007,Bawang Putih
