;Nama;Tanggal;X;Y;Lon;Lat;Sigma0_VH_db;Sigma0_VV_db;Class
8170;pin_5212;221119;196,5567249;41,63509946;116,5427088;-8,371577121;-15,057988;-7,6014943;Non Bawang Putih
8171;pin_5925;221119;227,8706885;189,1906199;116,5458861;-8,384569716;-10,11933;-4,8333106;Non Bawang Putih
8172;pin_4206;221119;178,5567443;13,63510255;116,5410331;-8,36914339;-14,442549;-7,8778048;Non Bawang Putih
8173;pin_1145;250719;122,4903497;116,4988002;116,5363267;-8,378431289;-13,856481;-8,112071;Bawang Putih
8174;pin_1051;250719;138,4903401;112,4987991;116,5377398;-8,37803465;-15,651716;-7,504226;Bawang Putih
8175;pin_261;250719;118,4903527;133,4988003;116,5360157;-8,379948284;-14,3803625;-7,2968955;Bawang Putih
8176;pin_7048;221119;144,5;174,5;116,5384285;-8,383487981;-11,8127985;0,07220078;Non Bawang Putih
8177;pin_6562;221119;76,5;55,5;116,5320627;-8,373122047;-7,4361944;1,3693078;Non Bawang Putih
8178;pin_5812;221119;230,870688;226,1906193;116,5462511;-8,387840418;-4,15565;1,8968395;Non Bawang Putih
8179;pin_407;250719;136,4903422;139,498799;116,5376333;-8,380432506;-14,071684;-8,2463665;Bawang Putih
8180;pin_768;250719;134,49034;37,49880016;116,5371854;-8,371399122;-13,510922;-10,310276;Bawang Putih
8181;pin_7197;221119;150,5;178,5;116,538973;-8,383826605;-9,333382;-2,1520934;Non Bawang Putih
8182;pin_2162;250719;164,4903215;15,49879829;116,5397966;-8,369370589;-14,564811;-7,2767463;Bawang Putih
8183;pin_7586;221119;113,5;47,5;116,5353339;-8,37231567;-15,902551;-8,737876;Non Bawang Putih
8184;pin_7869;221119;90,5;68,5;116,5333428;-8,374237177;-16,792782;-8,675496;Non Bawang Putih
8185;pin_5476;221119;220,8706941;231,19062;116,5453746;-8,38830989;-7,8357325;-0,70888513;Non Bawang Putih
8186;pin_3752;250719;196,4600342;47,35105669;116,5427256;-8,372108877;-16,290037;-7,443442;Bawang Putih
8187;pin_5134;221119;202,5567188;57,63509829;116,5432851;-8,372979106;-14,968801;-9,9061775;Non Bawang Putih
8188;pin_2729;250719;226,5;98,5;116,545534;-8,376562088;-14,489799;-7,006986;Bawang Putih
8189;pin_7170;221119;147,5;179,5;116,5387087;-8,383923135;-13,588124;-0,80293995;Non Bawang Putih
8190;pin_7171;221119;148,5;179,5;116,5387977;-8,383920496;-10,861255;-0,074018836;Non Bawang Putih
8191;pin_8328;221119;122,5;104,5;116,5362855;-8,377342998;-15,433415;-9,750873;Non Bawang Putih
8192;pin_5352;221119;234,8706784;10,19062124;116,5460348;-8,368689785;-14,312433;-7,8745694;Non Bawang Putih
8193;pin_7510;221119;70,5;183,5;116,5318675;-8,384480705;-5,7948437;-1,9449728;Non Bawang Putih
8194;pin_3759;250719;189,4600383;47,35105718;116,5421027;-8,372127327;-14,871967;-8,925329;Bawang Putih
8195;pin_491;250719;134,49034;36,49880017;116,5371828;-8,371310508;-13,543277;-8,780185;Bawang Putih
8196;pin_7365;221119;72,5;177,5;116,5320296;-8,383943735;-5,111986;-2,934864;Non Bawang Putih
8197;pin_568;250719;124,4903466;58,49880064;116,5363511;-8,373286371;-12,917984;-11,021412;Bawang Putih
8198;pin_125;250719;126,4903447;35,49880074;116,5364683;-8,371242967;-13,801986;-8,421698;Bawang Putih
8199;pin_389;250719;145,4903369;138,4987984;116,5384315;-8,380320157;-14,339174;-7,903168;Bawang Putih
8200;pin_3353;250719;237,5;107,5;116,5465366;-8,377330574;-15,230613;-7,4913726;Bawang Putih
8201;pin_5200;221119;184,5567391;41,63510114;116,5416411;-8,371608746;-16,631788;-9,663246;Non Bawang Putih
8202;pin_4058;250719;180,460044;57,35105771;116,5413284;-8,373037176;-14,532424;-8,538634;Bawang Putih
8203;pin_4486;221119;173,5567513;29,63510293;116,5406306;-8,370574374;-17,46379;-8,838043;Non Bawang Putih
8204;pin_400;250719;130,4903458;139,4987994;116,5370994;-8,380448329;-15,933933;-9,077719;Bawang Putih
8205;pin_239;250719;124,4903491;132,4987999;116,536547;-8,379843849;-13,919175;-10,373539;Bawang Putih
8206;pin_292;250719;132,4903445;135,4987993;116,5372668;-8,380088597;-14,734107;-11,301659;Bawang Putih
8207;pin_7428;221119;61,5;180,5;116,5310587;-8,384238589;-7,8424387;-0,32535115;Non Bawang Putih
8208;pin_2151;250719;166,4903203;14,49879816;116,539972;-8,369276707;-12,544602;-7,3419023;Bawang Putih
